id,htmlEquiv,unicode,name,type,script,sortFollowing,decomposition,deprecated,description,syntax,otherNames
105,x,78,Latin Small Letter X,Character,Latin,,,,,C:73,
106,y,79,Latin Small Letter Y,Character,Latin,,,,,C:74,
107,z,7A,Latin Small Letter Z,Character,Latin,,,,,C:75,
108,{,7B,Left brace,Character,Punctuation,,,,,,left curly bracket
109,|,7C,Vertical line,Character,Symbols,,,,,,"vertical bar, pipe"
110,},7D,Right brace,Character,Punctuation,,,,,,right curly bracket
111,~,7E,Tilde punctuation,Character,Symbols,,,,,,
112,,,DCE Version Selector 3.0a,Miscellaneous,DCE versions,,,,,,
113,"<font color=""red"">(end file)</font>",,End DCE content,Miscellaneous,DCE,,,,,E:15,
114,,,Begin unbounded content,Miscellaneous,Semantic,,,,"This denotes content that is not ""bound"" (given a context of a page, etc.) to be within &mdash; in other words it is what a plain text file is to a word processing file with page formatting &mdash; content with no context given for presenting it",E:115,
115,,,End unbounded content,Miscellaneous,Semantic,,,,,B:114,
116,,8,Backspace,Control,Controls,,,,,,
117,	,9,Horizontal tabulation,Character,Punctuation,,,,,,"character tabulation, tab"
118,&#x000B;,B,Vertical tabulation,Character,Punctuation,,,,Also used as a line separator by Microsoft Word and Powerpoint which use it to contrast with the character used as a paragraph separator (sources: http://stackoverflow.com/questions/3380538/what-is-a-vertical-tab http://unicode.org/reports/tr13/tr13-9.html ),,line tabulation
119,,A,New line,Character,Punctuation,,<variant>120</variant>,1,A variant of Dc120,,"line feed, end of line"
120,&#x000A;,A,Line feed,Character,Punctuation,,,,,,"new line, end of line"
121,&#x000D;,D,Carriage return,Character,Punctuation,,,,,,
122,,FE00,Variant Selector 1,Miscellaneous,Variant selectors,,,,,,
123,,FE01,Variant Selector 2,Miscellaneous,Variant selectors,,,,,,
124,,FE02,Variant Selector 3,Miscellaneous,Variant selectors,,,,,,
125,,FE03,Variant Selector 4,Miscellaneous,Variant selectors,,,,,,
126,,FE04,Variant Selector 5,Miscellaneous,Variant selectors,,,,,,
127,,,Base 64 encapsulation digit 0,Miscellaneous,Encapsulation,,,,,,
128,,,Base 64 encapsulation digit 1,Miscellaneous,Encapsulation,,,,,,
129,,,Base 64 encapsulation digit 2,Miscellaneous,Encapsulation,,,,,,
130,,,Base 64 encapsulation digit 3,Miscellaneous,Encapsulation,,,,,,
131,,,Base 64 encapsulation digit 4,Miscellaneous,Encapsulation,,,,,,
